facility_id,resource_type,location_description,floor,zone_id,notes
jefferson,aed,Hallway B outside Room 112 mounted on wall,1,west-wing-f1,
jefferson,aed,Main office lobby next to front desk,1,admin-f1,
jefferson,aed,Gym entrance left side of double doors,1,gym,
jefferson,first_aid_kit,Nurse office Room 108,1,east-wing-f1,
jefferson,first_aid_kit,Main office behind reception counter,1,admin-f1,
jefferson,first_aid_kit,Cafeteria kitchen on wall by service window,1,cafeteria,
jefferson,first_aid_kit,Library front desk bottom drawer,2,library,
jefferson,first_aid_kit,Gym equipment room,1,gym,
jefferson,trauma_kit,Security office inside admin area locked cabinet,1,admin-f1,
jefferson,fire_extinguisher,East hallway F1 between rooms 104 and 105,1,east-wing-f1,
jefferson,fire_extinguisher,West hallway F1 between rooms 111 and 112,1,west-wing-f1,
jefferson,fire_extinguisher,East hallway F2 between rooms 203 and 204,2,east-wing-f2,
jefferson,fire_extinguisher,West hallway F2 near room 215 science lab,2,west-wing-f2,
jefferson,fire_extinguisher,Cafeteria kitchen,1,cafeteria,
jefferson,fire_extinguisher,Gym storage room,1,gym,
jefferson,emergency_phone,Main office front desk direct line to 911,1,admin-f1,
jefferson,emergency_phone,Gym office Coach Williams desk phone,1,gym,
